seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,city
AGENT,3,BHK,Independent Floor,Paschim Vihar,30000,1200,Semi-Furnished,2 bathrooms,Delhi
AGENT,6,BHK,Independent Floor,Greater kailash 1,2.5,9000,Semi-Furnished,,Delhi
AGENT,2,BHK,Apartment,Netaji Nagar,16000,700,Furnished,1 bathrooms,Kolkata
OWNER,2,BHK,Independent House,Shakarpur Khas,12000,1000,Unfurnished,1 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Anand Niketan,1.74,2522,Unfurnished,3 bathrooms,Delhi
AGENT,1,RK,Studio Apartment,Lake Town,8000,250,Unfurnished,1 bathrooms,Kolkata
AGENT,1,BHK,Independent Floor,Patel Nagar,5999,365,Furnished,1 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Greater kailash 1,2.35,5211,Unfurnished,4 bathrooms,Delhi
OWNER,2,BHK,Apartment,Rajarhat,10500,928,Unfurnished,2 bathrooms,Kolkata
AGENT,1,BHK,Independent Floor,Shalimar Bagh,16000,600,Semi-Furnished,1 bathrooms,Delhi
OWNER,2,BHK,Independent Floor,Uttarpara Kotrung,7200,1066,Unfurnished,1 bathrooms,Kolkata
AGENT,4,BHK,Independent House,Niti Bagh,3.25,5562,Unfurnished,4 bathrooms,Delhi
AGENT,3,BHK,Apartment,Sector 22 Dwarka,26000,1800,Semi-Furnished,2 bathrooms,Delhi
OWNER,3,BHK,Apartment,south dum dum,5000,900,Furnished,1 bathrooms,Kolkata
AGENT,8,BHK,Independent House,Anand Niketan,8.54,5211,Unfurnished,7 bathrooms,Delhi
OWNER,2,BHK,Independent Floor,Jangpura,15000,600,Unfurnished,2 bathrooms,Delhi
AGENT,2,BHK,Apartment,Nayabad,14000,900,Furnished,2 bathrooms,Kolkata
AGENT,1,BHK,Independent Floor,Ajmeri Gate,15000,900,Semi-Furnished,2 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Sector 8 Dwarka,29000,1900,Semi-Furnished,3 bathrooms,Delhi
AGENT,1,RK,Studio Apartment,Saket,8000,400,Furnished,1 bathrooms,Delhi
OWNER,1,BHK,Independent Floor,Sheikh Sarai,7000,600,Semi-Furnished,1 bathrooms,Delhi
AGENT,3,BHK,Apartment,Uttam Nagar,11500,800,Semi-Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Apartment,New Town,14000,1000,Unfurnished,1 bathrooms,Kolkata
AGENT,2,BHK,Apartment,Chattarpur,15500,800,Semi-Furnished,2 bathrooms,Delhi
AGENT,1,RK,Studio Apartment,Greater Kailash II,16000,500,Semi-Furnished,1 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Safdarjung Enclave,3.25,5532,Unfurnished,4 bathrooms,Delhi
AGENT,2,BHK,Apartment,Patparganj,25000,950,Semi-Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Sector 19 Dwarka,26000,680,Furnished,2 bathrooms,Delhi
AGENT,1,BHK,Apartment,Jasola,13000,550,Semi-Furnished,1 bathrooms,Delhi
AGENT,1,RK,Studio Apartment,Sheikh Sarai,15000,350,Furnished,1 bathrooms,Delhi
OWNER,2,BHK,Independent Floor,birati,7000,550,Semi-Furnished,1 bathrooms,Kolkata
AGENT,5,BHK,Villa,Sainik Farm,7.85,8521,Unfurnished,5 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,laxmi nagar,13000,550,Semi-Furnished,1 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Greater Kailash II,3.25,6521,Unfurnished,4 bathrooms,Delhi
AGENT,3,BHK,Apartment,New Town,18000,1275,Semi-Furnished,2 bathrooms,Kolkata
AGENT,3,BHK,Apartment,Sector 2 Dwarka,30000,1852,Semi-Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Apartment,Saket,20000,800,Semi-Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Rajinder Nagar,68000,1800,Semi-Furnished,3 bathrooms,Delhi
OWNER,2,BHK,Apartment,Barrackpore,11000,767,Unfurnished,2 bathrooms,Kolkata
OWNER,2,BHK,Apartment,New Town,20000,899,Semi-Furnished,2 bathrooms,Kolkata
AGENT,3,BHK,Independent Floor,Saket,2.01,2856,Unfurnished,3 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Greater Kailash II,70000,2500,Semi-Furnished,3 bathrooms,Delhi
AGENT,1,RK,Studio Apartment,Sector 14 Dwarka,11000,600,Semi-Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Niti Bagh,2.35,2852,Unfurnished,3 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Sector 8 Dwarka,30000,1800,Semi-Furnished,2 bathrooms,Delhi
OWNER,3,BHK,Apartment,Dwarka Mor,12000,1000,Unfurnished,2 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Malviya Nagar,35000,1350,Furnished,2 bathrooms,Delhi
AGENT,4,BHK,Penthouse,Sainik Farm,5.49,5562,Unfurnished,4 bathrooms,Delhi
AGENT,4,BHK,Villa,Friends Colony,8.56,5562,Unfurnished,4 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Rajouri Garden,35000,1800,Semi-Furnished,2 bathrooms,Delhi
OWNER,2,BHK,Independent Floor,Jamia Nagar,7500,450,Unfurnished,1 bathrooms,Delhi
AGENT,3,BHK,Apartment,Behala,12500,1062,Unfurnished,,Kolkata
AGENT,3,BHK,Independent House,Greater Kailash,85000,2200,Semi-Furnished,4 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Ramesh Nagar,31000,1600,Semi-Furnished,3 bathrooms,Delhi
AGENT,5,BHK,Independent House,Sarvpriya Vihar,8.54,8521,Unfurnished,6 bathrooms,Delhi
AGENT,2,BHK,Apartment,New Town,16000,945,Semi-Furnished,2 bathrooms,Kolkata
AGENT,4,BHK,Villa,Defence Colony,3.62,5211,Unfurnished,4 bathrooms,Delhi
AGENT,4,BHK,Independent House,Greater Kailash II,4.19,5562,Unfurnished,4 bathrooms,Delhi
AGENT,3,BHK,Apartment,Dwarka New Delhi 110075,31000,2100,Semi-Furnished,2 bathrooms,Delhi
OWNER,1,RK,Studio Apartment,Vasant Vihar,7000,400,Unfurnished,1 bathrooms,Delhi
AGENT,3,BHK,Apartment,New Town,14000,1115,Furnished,2 bathrooms,Kolkata
AGENT,2,BHK,Independent Floor,Saket,18000,950,Semi-Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Independent House,birati,6500,900,Unfurnished,1 bathrooms,Kolkata
AGENT,1,BHK,Apartment,Sarita Vihar,13500,516,Semi-Furnished,2 bathrooms,Delhi
OWNER,2,BHK,Apartment,Baghajatin,13000,900,Semi-Furnished,2 bathrooms,Kolkata
AGENT,6,BHK,Independent House,Neeti Bagh,3.5,10000,Semi-Furnished,6 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Greater Kailash II,2.23,2856,Unfurnished,3 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Sarvpriya Vihar,2.12,2852,Unfurnished,3 bathrooms,Delhi
AGENT,3,BHK,Apartment,Sector 4 Dwarka,30000,1800,Semi-Furnished,2 bathrooms,Delhi
AGENT,1,BHK,Independent Floor,Preet Vihar,8500,850,Semi-Furnished,1 bathrooms,Delhi
AGENT,1,BHK,Apartment,Saket,16000,500,Furnished,1 bathrooms,Delhi
AGENT,1,BHK,Apartment,Saket,10500,1115,Semi-Furnished,1 bathrooms,Delhi
AGENT,3,BHK,Apartment,Sector 22 Dwarka,28000,1700,Semi-Furnished,3 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Panchsheel Enclave,45000,1800,Semi-Furnished,2 bathrooms,Delhi
OWNER,2,BHK,Independent Floor,Janakpuri,15000,900,Semi-Furnished,2 bathrooms,Delhi
AGENT,4,BHK,Apartment,Greater Kailash,1.5,2700,Furnished,4 bathrooms,Delhi
AGENT,1,BHK,Independent House,Garia,7000,540,Unfurnished,1 bathrooms,Kolkata
BUILDER,2,BHK,Apartment,IP Extension,16500,700,Unfurnished,2 bathrooms,Delhi
AGENT,5,BHK,Apartment,DLF Phase 5,3.24,6200,Semi-Furnished,4 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Greater Kailash II,2.01,2856,Unfurnished,3 bathrooms,Delhi
OWNER,1,BHK,Apartment,Netaji Nagar,8000,400,Unfurnished,1 bathrooms,Kolkata
OWNER,1,RK,Studio Apartment,Regent Park,9000,150,Unfurnished,1 bathrooms,Kolkata
AGENT,1,RK,Studio Apartment,Saket,12000,550,Furnished,1 bathrooms,Delhi
OWNER,2,BHK,Independent House,Noapara,8000,1200,Semi-Furnished,2 bathrooms,Kolkata
AGENT,3,BHK,Independent House,Raja garden,40000,1800,Semi-Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Pitampura,40000,1250,Semi-Furnished,3 bathrooms,Delhi
AGENT,4,BHK,Apartment,Sector 10 Dwarka,35000,2500,Semi-Furnished,5 bathrooms,Delhi
AGENT,4,BHK,Apartment,Sector 11 Dwarka,50000,2250,Furnished,3 bathrooms,Delhi
AGENT,3,BHK,Apartment,Saket,20000,1450,Semi-Furnished,3 bathrooms,Delhi
AGENT,3,BHK,Apartment,Sector 22 Dwarka,30000,1900,Semi-Furnished,3 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Defence Colony,1.1,2925,Semi-Furnished,4 bathrooms,Delhi
OWNER,3,BHK,Apartment,Sodepur,15000,1400,Unfurnished,3 bathrooms,Kolkata
AGENT,3,BHK,Independent Floor,Friends Colony,2.35,2856,Unfurnished,3 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Lajpat Nagar,25000,900,Unfurnished,2 bathrooms,Delhi
OWNER,3,BHK,Independent Floor,Sector 11 Rohini,32000,1450,Furnished,2 bathrooms,Delhi
BUILDER,1,BHK,Apartment,Beleghata Main Road,7000,430,Unfurnished,1 bathrooms,Kolkata
AGENT,2,BHK,Apartment,Tagore Park,11000,850,Unfurnished,2 bathrooms,Kolkata
AGENT,2,BHK,Independent Floor,New Ashok Nagar,11000,450,Semi-Furnished,1 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Safdarjung Enclave,45000,1350,Unfurnished,3 bathrooms,Delhi
OWNER,2,BHK,Independent House,Janakpuri,22000,2250,Unfurnished,1 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Malviya Nagar,42000,1800,Unfurnished,3 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Geetanjali Enclave,3.25,5562,Unfurnished,4 bathrooms,Delhi
AGENT,1,BHK,Independent Floor,New Town,13000,480,Semi-Furnished,1 bathrooms,Kolkata
AGENT,3,BHK,Independent Floor,Rajouri Garden,43600,1560,Furnished,4 bathrooms,Delhi
AGENT,3,BHK,Apartment,Vasant Kunj,40000,1400,Semi-Furnished,4 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Friends Colony,4.12,6251,Unfurnished,4 bathrooms,Delhi
AGENT,2,BHK,Apartment,Park Street Area,40000,1200,Semi-Furnished,2 bathrooms,Kolkata
AGENT,3,BHK,Apartment,Sector 10 Dwarka,29000,2300,Semi-Furnished,3 bathrooms,Delhi
AGENT,3,BHK,Apartment,Nayabad,50000,1830,Semi-Furnished,3 bathrooms,Kolkata
AGENT,3,BHK,Apartment,Defence Colony,2,3100,Furnished,3 bathrooms,Delhi
AGENT,3,BHK,Apartment,New Town,26000,1855,Furnished,3 bathrooms,Kolkata
AGENT,10,BHK,Independent House,Sector 8 Dwarka,1.8,9000,Semi-Furnished,9 bathrooms,Delhi
AGENT,1,BHK,Apartment,Chattarpur,9000,450,Semi-Furnished,1 bathrooms,Delhi
AGENT,4,BHK,Villa,Greater kailash 1,7.41,5562,Unfurnished,5 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Greater Kailash II,2.01,2852,Unfurnished,3 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Anand Niketan,1.75,2000,Semi-Furnished,3 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Sarvodaya Enclave,2.32,2852,Unfurnished,3 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Green Park,65000,2025,Semi-Furnished,3 bathrooms,Delhi
AGENT,4,BHK,Villa,New Friends Colony,7.44,5621,Unfurnished,4 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Green Park,72000,1600,Unfurnished,3 bathrooms,Delhi
AGENT,4,BHK,Apartment,New Town,24000,2200,Semi-Furnished,3 bathrooms,Kolkata
AGENT,4,BHK,Apartment,Sector 10 Dwarka,38000,2100,Semi-Furnished,3 bathrooms,Delhi
OWNER,3,BHK,Apartment,Santoshpur,45000,2100,Furnished,3 bathrooms,Kolkata
OWNER,1,BHK,Apartment,Khirki Extension,10000,450,Semi-Furnished,1 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Tagore Garden Extension,30000,720,Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Rajouri Garden,35000,1500,Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Greater Kailash II,3.11,3001,Unfurnished,3 bathrooms,Delhi
AGENT,3,BHK,Apartment,New Town,14000,925,Unfurnished,2 bathrooms,Kolkata
AGENT,2,BHK,Independent Floor,New Ashok Nagar,11500,550,Semi-Furnished,1 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Garhi,48000,1350,Semi-Furnished,3 bathrooms,Delhi
OWNER,1,RK,Studio Apartment,Belghoria,5300,450,Unfurnished,1 bathrooms,Kolkata
AGENT,3,BHK,Independent Floor,Jamia Nagar,18000,1000,Semi-Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Green Park,2.16,2852,Unfurnished,3 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Sunder Nagar,7.44,6521,Unfurnished,4 bathrooms,Delhi
AGENT,3,BHK,Apartment,Sector 5 Dwarka,27000,1750,Semi-Furnished,2 bathrooms,Delhi
AGENT,4,BHK,Apartment,Sector 12 Dwarka,57000,2167,Semi-Furnished,4 bathrooms,Delhi
AGENT,2,BHK,Independent House,Picnic Garden,9000,850,Unfurnished,2 bathrooms,Kolkata
AGENT,2,BHK,Independent Floor,Sector 19 Dwarka,24000,680,Furnished,2 bathrooms,Delhi
OWNER,3,BHK,Apartment,Uttam Nagar,12600,800,Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Apartment,New Town,35000,1738,Semi-Furnished,3 bathrooms,Kolkata
AGENT,3,BHK,Apartment,Karampura,43333,1752,Semi-Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Apartment,Sector 23 Dwarka,26000,1550,Semi-Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Apartment,Behala Sakher Bazar,12000,750,Unfurnished,1 bathrooms,Kolkata
AGENT,1,BHK,Independent Floor,New Ashok Nagar,11000,350,Unfurnished,1 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Anand Niketan,2.35,5211,Unfurnished,4 bathrooms,Delhi
AGENT,5,BHK,Penthouse,Chattarpur,7.44,6521,Unfurnished,5 bathrooms,Delhi
AGENT,5,BHK,Independent Floor,Anand Niketan,4.52,5211,Unfurnished,4 bathrooms,Delhi
AGENT,1,BHK,Independent Floor,laxmi nagar,8000,400,Unfurnished,1 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Patel Nagar,28000,900,Semi-Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Rohini sector 24,15000,900,Semi-Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,mayur vihar phase 1,9300,450,Unfurnished,2 bathrooms,Delhi
AGENT,1,RK,Studio Apartment,Hauz Khas,30000,450,Semi-Furnished,East facing,Delhi
AGENT,3,BHK,Apartment,Bhowanipore,40000,1400,Semi-Furnished,2 bathrooms,Kolkata
OWNER,1,BHK,Independent Floor,Kasba,8500,750,Unfurnished,1 bathrooms,Kolkata
AGENT,4,BHK,Apartment,New Town,60000,3200,Furnished,3 bathrooms,Kolkata
AGENT,3,BHK,Independent Floor,Green Park,55000,1800,Semi-Furnished,3 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Safdarjung Enclave,42000,1200,Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Apartment,Kasba,13500,850,Semi-Furnished,2 bathrooms,Kolkata
AGENT,3,BHK,Independent Floor,Saket,2.35,2852,Unfurnished,3 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,East of Kailash,75000,3600,Semi-Furnished,3 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Govindpuri,11200,600,Semi-Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Apartment,Sector 4 Dwarka,29000,1825,Semi-Furnished,3 bathrooms,Delhi
BUILDER,3,BHK,Apartment,Jadavpur,45000,1583,Semi-Furnished,2 bathrooms,Kolkata
AGENT,1,RK,Studio Apartment,VIP Nagar,5200,350,Unfurnished,1 bathrooms,Kolkata
AGENT,4,BHK,Apartment,DLF Phase 5,78909,2721,Semi-Furnished,5 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,New Ashok Nagar,13000,550,Semi-Furnished,1 bathrooms,Delhi
AGENT,4,BHK,Independent House,Jor bagh,10.1,5562,Unfurnished,5 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Sarvodaya Enclave,2.01,2852,Unfurnished,3 bathrooms,Delhi
AGENT,2,BHK,Apartment,Naktala,20000,800,Furnished,2 bathrooms,Kolkata
AGENT,3,BHK,Apartment,Sheikh Sarai,1.25,3100,Furnished,3 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Gurgaon Delhi Expressway,18000,900,Semi-Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Lajpat Nagar,28000,971,Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Shalimar Bagh,24000,800,Semi-Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Safdarjung Enclave,60000,1500,Semi-Furnished,2 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Sarvodaya Enclave,3.1,5211,Unfurnished,4 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Rajouri Garden,55000,1800,Semi-Furnished,3 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Niti Bagh,3.01,5412,Unfurnished,4 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Anand Niketan,80000,1500,Semi-Furnished,3 bathrooms,Delhi
AGENT,2,BHK,Apartment,New Town,35000,1100,Furnished,2 bathrooms,Kolkata
AGENT,3,BHK,Independent Floor,Safdarjung Enclave,80000,1800,Furnished,3 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Dr Mukherji Nagar,29000,720,Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Chattarpur,19500,1150,Semi-Furnished,3 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Abul Fazal Enclave Jamia Nagar,8000,600,Semi-Furnished,1 bathrooms,Delhi
AGENT,4,BHK,Villa,Maharani Bagh,3.21,5211,Unfurnished,4 bathrooms,Delhi
OWNER,1,BHK,Independent Floor,Krishna Nagar,15000,1375,Semi-Furnished,1 bathrooms,Delhi
AGENT,3,BHK,Apartment,New Town,15000,1500,Semi-Furnished,2 bathrooms,Kolkata
AGENT,4,BHK,Independent Floor,Saket,2.01,5211,Unfurnished,4 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Vasant Vihar,2,2600,Semi-Furnished,5 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Greater Kailash,70000,1600,Semi-Furnished,3 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Lajpat Nagar III,31000,1000,Furnished,2 bathrooms,Delhi
OWNER,2,BHK,Independent Floor,Vasant Vihar,25000,900,Semi-Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Independent Floor,Gulmohar park,60000,1800,Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Saket,14000,1500,Semi-Furnished,2 bathrooms,Delhi
AGENT,3,BHK,Apartment,New Town,20000,1500,Semi-Furnished,2 bathrooms,Kolkata
AGENT,2,BHK,Apartment,Bhowanipore,27000,900,Furnished,2 bathrooms,Kolkata
AGENT,1,BHK,Apartment,New Town,9000,536,Furnished,1 bathrooms,Kolkata
OWNER,2,BHK,Apartment,Sonarpur,7500,865,Semi-Furnished,2 bathrooms,Kolkata
OWNER,3,BHK,Independent Floor,Salap,13000,1000,Unfurnished,1 bathrooms,Kolkata
AGENT,4,BHK,Independent Floor,Safdarjung Enclave,2.23,5562,Unfurnished,4 bathrooms,Delhi
,,,,,,,,,Delhi
AGENT,2,BHK,Apartment,Howrah,23000,1170,Semi-Furnished,2 bathrooms,Kolkata
AGENT,4,BHK,Independent Floor,Sarvpriya Vihar,2.16,5621,Unfurnished,4 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Panchsheel Park,55000,2000,Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Apartment,Saket,35000,1600,Semi-Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,mayur vihar phase 1,14200,650,Semi-Furnished,2 bathrooms,Delhi
AGENT,2,BHK,Apartment,Lake Town,10800,1100,Semi-Furnished,2 bathrooms,Kolkata
AGENT,4,BHK,Villa,Vasant Kunj,3.25,5562,Unfurnished,4 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Panchsheel Park,3.25,5211,Unfurnished,4 bathrooms,Delhi
AGENT,2,BHK,Independent Floor,Govindpuri,12000,650,Semi-Furnished,2 bathrooms,Delhi
OWNER,2,BHK,Apartment,Salt Lake City,5000,1000,Unfurnished,1 bathrooms,Kolkata
AGENT,1,RK,Studio Apartment,Keshtopur,4800,360,Unfurnished,1 bathrooms,Kolkata
AGENT,3,BHK,Independent Floor,Saket,24000,1630,Semi-Furnished,3 bathrooms,Delhi
AGENT,3,BHK,Apartment,Sector 11 Dwarka,27000,1400,Semi-Furnished,2 bathrooms,Delhi
AGENT,4,BHK,Independent Floor,Greater kailash 1,2.01,4741,Unfurnished,4 bathrooms,Delhi
