seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,city
OWNER,2,BHK,Independent Floor,kamakshipalya,20000,1140,Semi-Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Independent House,Kadugodi Industrial Area,8000,840,Semi-Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Independent House,Koramangala,21000,1000,Semi-Furnished,2 bathrooms,Bangalore
OWNER,1,BHK,Apartment,Sadduguntepalya,9000,550,Semi-Furnished,1 bathrooms,Bangalore
OWNER,3,BHK,Apartment,Chandapura,17000,1230,Furnished,3 bathrooms,Bangalore
OWNER,3,BHK,Apartment,Yelahanka New Town,14000,1200,Semi-Furnished,2 bathrooms,Bangalore
OWNER,3,BHK,Apartment,Bommanahalli,23000,1650,Semi-Furnished,2 bathrooms,Bangalore
OWNER,1,BHK,Independent Floor,Kengeri Satellite Town,8000,550,Semi-Furnished,1 bathrooms,Bangalore
OWNER,1,BHK,Independent Floor,T Dasarahalli,5000,500,Unfurnished,1 bathrooms,Bangalore
OWNER,2,BHK,Apartment,Attibele,10000,1260,Semi-Furnished,2 bathrooms,Bangalore
OWNER,1,BHK,Apartment,Kasavanahalli,9500,500,Semi-Furnished,1 bathrooms,Bangalore
OWNER,2,BHK,Independent Floor,Nandini Layout,14000,1000,Semi-Furnished,2 bathrooms,Bangalore
OWNER,1,BHK,Independent House,Bharat Nagar,8000,500,Semi-Furnished,1 bathrooms,Bangalore
OWNER,1,RK,Studio Apartment,Kadugodi Industrial Area,4000,400,Unfurnished,1 bathrooms,Bangalore
OWNER,2,BHK,Apartment,Kodihalli on Old Airport Road,31000,1175,Semi-Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Independent House,Hebbal,9500,1200,Semi-Furnished,2 bathrooms,Bangalore
OWNER,4,BHK,Independent Floor,Whitefield Hope Farm Junction,2.5,5121,Semi-Furnished,5 bathrooms,Bangalore
OWNER,3,BHK,Independent Floor,Banaswadi,23000,1600,Semi-Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Independent House,Whitefield,16000,1500,Semi-Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Apartment,Whitefield Hope Farm Junction,22000,1260,Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Independent House,Kogilu,10000,600,Semi-Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Independent House,Hennur,12000,850,Semi-Furnished,2 bathrooms,Bangalore
OWNER,1,BHK,Independent Floor,hongasandra bangalore,9000,1200,Semi-Furnished,1 bathrooms,Bangalore
OWNER,1,BHK,Apartment,Banashankari,11000,500,Semi-Furnished,1 bathrooms,Bangalore
OWNER,1,BHK,Independent House,Krishnarajapura,8000,600,Semi-Furnished,1 bathrooms,Bangalore
OWNER,1,BHK,Independent Floor,Indira Nagar,8000,1200,Unfurnished,1 bathrooms,Bangalore
OWNER,3,BHK,Apartment,Whitefield Hope Farm Junction,23900,1414,Semi-Furnished,3 bathrooms,Bangalore
OWNER,2,BHK,Apartment,Harlur,24500,1126,Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Independent Floor,J. P. Nagar,12500,600,Semi-Furnished,1 bathrooms,Bangalore
OWNER,1,RK,Studio Apartment,Jakkur,99500,1500,Unfurnished,,Bangalore
OWNER,3,BHK,Independent House,T Dasarahalli,12000,900,Semi-Furnished,2 bathrooms,Bangalore
OWNER,1,BHK,Independent House,Indira Nagar,15000,800,Semi-Furnished,1 bathrooms,Bangalore
OWNER,1,RK,Studio Apartment,Begur,13500,600,Semi-Furnished,1 bathrooms,Bangalore
OWNER,2,BHK,Apartment,BTM Layout,21000,1150,Semi-Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Independent Floor,Basavanagudi,13000,1000,Unfurnished,1 bathrooms,Bangalore
OWNER,1,RK,Studio Apartment,Padmanabhanagar,4500,200,Semi-Furnished,1 bathrooms,Bangalore
OWNER,2,BHK,Independent Floor,Kadugodi,9000,650,Unfurnished,1 bathrooms,Bangalore
OWNER,1,RK,Studio Apartment,Rajajinagar,3500,150,Unfurnished,1 bathrooms,Bangalore
OWNER,2,BHK,Apartment,Bagalakunte,12000,700,Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Apartment,Kodihalli on Old Airport Road,14000,1190,Semi-Furnished,2 bathrooms,Bangalore
OWNER,1,BHK,Independent House,Vidyaranyapura,7000,600,Semi-Furnished,1 bathrooms,Bangalore
OWNER,2,BHK,Apartment,Vibhutipura,20000,1050,Semi-Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Apartment,BTM Layout,12500,550,Semi-Furnished,1 bathrooms,Bangalore
OWNER,1,BHK,Apartment,Electronic City Phase 1,19000,720,Semi-Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Apartment,Harlur,25000,1100,Furnished,2 bathrooms,Bangalore
OWNER,2,BHK,Independent Floor,Kaggadasapura,21000,1250,Semi-Furnished,2 bathrooms,Bangalore
OWNER,4,BHK,Villa,Kannur,65000,6400,Furnished,5 bathrooms,Bangalore
OWNER,2,BHK,Independent House,Bendre Nagar,16500,1100,Semi-Furnished,2 bathrooms,Bangalore
OWNER,1,BHK,Apartment,Mathikere,9000,690,Semi-Furnished,1 bathrooms,Bangalore
OWNER,1,RK,Studio Apartment,Whitefield,6000,255,Furnished,1 bathrooms,Bangalore
